Delays.Carrier,Delays.Late Aircraft,Delays.National Aviation System,Delays.Weather,Airport
1009,1275,3217,328,ATL
1259,1791,4022,367,ATL
1220,1766,4475,361,ATL
700,807,2267,161,ATL
756,906,3355,170,ATL
789,888,2773,155,ATL
1303,1408,4277,271,ATL
1302,1265,4567,599,ATL
1197,1579,7959,787,ATL
1068,912,3195,227,ATL
1007,924,3550,209,ATL
1326,1515,5402,556,ATL
1667,2070,7274,695,ATL
1854,1811,5038,491,ATL
1366,1443,4442,411,ATL
1090,944,5019,362,ATL
1257,1445,5822,500,ATL
1405,1596,6664,495,ATL
2059,1961,4886,473,ATL
1719,1577,4598,448,ATL
1288,1403,6104,399,ATL
1462,1838,5697,423,ATL
1283,1411,2734,316,ATL
1201,1195,3134,278,ATL
1686,1920,6892,479,ATL
1961,2557,8704,466,ATL
1916,2113,8440,381,ATL
1247,977,2374,127,ATL
1288,1402,4520,276,ATL
1466,1260,4100,314,ATL
2144,2336,4898,509,ATL
1634,1506,4563,401,ATL
1352,1427,4880,342,ATL
1516,1596,4458,286,ATL
1536,1434,3775,317,ATL
1561,1638,3988,341,ATL
2464,2276,3086,638,ATL
2910,2622,2757,539,ATL
2514,2459,4152,562,ATL
2056,2477,6941,509,ATL
2281,3267,7054,510,ATL
1886,2371,3702,325,ATL
1961,2130,2243,262,ATL
1788,1797,2644,414,ATL
1989,2109,2201,491,ATL
2049,1851,2108,327,ATL
1822,1826,1841,299,ATL
1527,1415,2328,193,ATL
2774,3094,4032,712,ATL
3082,3709,4321,812,ATL
3087,3239,4041,592,ATL
2352,1616,2584,299,ATL
2556,2170,3857,514,ATL
1799,1394,2413,302,ATL
2885,2708,4173,697,ATL
2137,1569,2593,269,ATL
2168,2156,3716,611,ATL
2347,2619,4552,616,ATL
1756,1849,3123,422,ATL
1466,1349,2165,227,ATL
1828,2157,3271,411,ATL
2065,2551,4561,635,ATL
1935,1904,3482,347,ATL
1247,1335,1822,147,ATL
925,2153,3434,89,ATL
995,2573,4153,124,ATL
1956,4483,4955,392,ATL
1226,2806,4172,252,ATL
776,1910,2842,101,ATL
1339,3914,5535,266,ATL
1264,3061,4407,192,ATL
1342,3211,5579,193,ATL
1442,3110,3190,225,ATL
1667,3906,4649,258,ATL
1495,3487,4727,271,ATL
1150,2091,4872,148,ATL
1291,2761,5787,170,ATL
920,1808,3858,80,ATL
1543,2789,5060,260,ATL
1176,1837,2648,234,ATL
1194,2204,2826,324,ATL
1393,2238,3446,194,ATL
950,1295,1866,113,ATL
1424,2181,3414,221,ATL
1795,2634,3586,232,ATL
1860,2899,3427,259,ATL
1522,2445,3561,168,ATL
1088,1679,1843,98,ATL
1136,2055,1848,121,ATL
1164,1917,2228,95,ATL
1604,2921,2190,262,ATL
1196,1971,2083,142,ATL
1048,1788,2008,131,ATL
1460,3026,3022,119,ATL
1290,2895,2356,149,ATL
1240,2607,1879,109,ATL
1660,3468,2841,218,ATL
1697,3202,2942,201,ATL
1309,2340,1901,155,ATL
969,1424,1904,112,ATL
965,1307,1730,58,ATL
944,1476,1491,41,ATL
1054,1373,1771,79,ATL
961,1548,2023,105,ATL
824,1246,1369,63,ATL
1244,2155,1829,100,ATL
875,1146,1056,39,ATL
1136,1775,1724,101,ATL
1255,1876,1718,139,ATL
1627,2628,2950,254,ATL
1360,2348,2312,167,ATL
989,1492,1235,60,ATL
1093,1782,1910,67,ATL
880,1095,919,26,ATL
1203,1920,1574,122,ATL
1055,1460,1807,147,ATL
959,1540,1726,119,ATL
1182,2139,1990,165,ATL
1216,2066,1957,142,ATL
1252,2139,1958,123,ATL
1870,3774,3410,415,ATL
2089,3843,4467,423,ATL
1462,2609,2737,176,ATL
921,1442,1477,97,ATL
946,1389,1290,36,ATL
1044,1680,1900,79,ATL
